iter	Passed	Remaining
136	10109	63681
137	10191	63662
138	10270	63620
139	10345	63553
140	10418	63468
141	10473	63283
142	10544	63193
143	10635	63222
144	10722	63226
145	10825	63319
146	10917	63352
147	11006	63363
148	11100	63399
149	11194	63437
150	11278	63411
151	11382	63503
152	11480	63557
153	11598	63714
154	11691	63736
155	11788	63779
156	11873	63751
157	11946	63663
158	12014	63545
159	12089	63469
160	12159	63367
161	12217	63197
162	12289	63105
163	12355	62981
164	12443	62971
165	12511	62856
166	12579	62748
167	12667	62734
168	12753	62711
169	12831	62649
170	12910	62588
171	12984	62507
172	13064	62453
173	13143	62394
174	13223	62338
175	13291	62229
176	13360	62122
177	13435	62043
178	13507	61952
179	13595	61935
180	13666	61841
181	13741	61761
182	13844	61806
183	13940	61824
184	14033	61823
185	14116	61777
186	14186	61677
187	14263	61607
188	14350	61579
189	14413	61448
190	14488	61368
191	14561	61281
192	14626	61158
193	14685	61011
194	14750	60892
195	14809	60750
196	14878	60645
197	14980	60678
198	15047	60567
199	15109	60438
200	15167	60293
201	15253	60257
202	15326	60171
203	15392	60059
204	15485	60052
205	15558	59966
206	15634	59894
207	15707	59807
208	15787	59749
209	15863	59676
210	15948	59637
211	16023	59558
212	16121	59567
213	16211	59544
214	16269	59402
215	16340	59309
216	16437	59312
217	16544	59347
218	16652	59385
219	16766	59443
220	16831	59327
221	16975	59491
222	17077	59502
223	17188	59547
224	17260	59453
225	17357	59445
226	17442	59397
227	17529	59353
228	17615	59309
229	17696	59243
230	17775	59175
231	17853	59100
232	17938	59051
233	18012	58964
234	18080	58856
235	18155	58773
236	18231	58693
237	18319	58651
238	18409	58618
239	18502	58592
240	18593	58556
241	18662	58455
242	18719	58316
243	18796	58239
244	18879	58178
245	18953	58093
246	19037	58038
247	19151	58073
248	19249	58056
249	19346	58040
250	19407	57913
251	19474	57805
252	19550	57723
253	19622	57632
254	19693	57535
255	19762	57435
256	19846	57378
257	19930	57319
258	20020	57280
259	20104	57219
260	20192	57174
261	20254	57053
262	20316	56932
263	20374	56802
264	20438	56687
265	20499	56567
266	20562	56450
267	20630	56347
268	20689	56221
269	20741	56079
270	20806	55970
271	20863	55841
272	20930	55737
273	20987	55610
274	21060	55523
275	21120	55402
276	21195	55322
277	21256	55206
278	21324	55107
279	21401	55033
280	21460	54912
281	21530	54818
282	21624	54787
283	21705	54722
284	21788	54663
285	21875	54613
286	21948	54528
287	22014	54425
288	22075	54311
289	22151	54231
290	22234	54173
291	22302	54074
292	22382	54008
293	22455	53923
294	22513	53803
295	22589	53727
296	22671	53662
297	22759	53615
298	22838	53545
299	22890	53411
300	22950	53296
301	23020	53205
302	23079	53091
303	23138	52975
304	23219	52910
305	23296	52836
306	23377	52770
307	23452	52690
308	23540	52641
309	23606	52544
310	23665	52430
311	23728	52324
312	23798	52234
313	23862	52132
314	23915	52007
315	23991	51930
316	24062	51845
317	24140	51773
318	24253	51776
319	24345	51733
320	24434	51686
321	24549	51691
322	24648	51663
323	24748	51634
324	24826	51562
325	24908	51498
326	25004	51461
327	25086	51396
328	25172	51339
329	25305	51378
330	25373	51284
331	25430	51166
332	25502	51081
333	25572	50991
334	25635	50889
335	25700	50789
336	25777	50713
337	25875	50680
338	25953	50605
339	26021	50511
340	26096	50433
341	26193	50396
342	26270	50319
343	26360	50269
344	26436	50190
345	26515	50119
346	26594	50047
347	26678	49983
348	26768	49931
349	26848	49861
350	26938	49809
351	27054	49804
352	27164	49789
353	27282	49787
354	27386	49758
355	27449	49655
356	27509	49548
357	27583	49464
358	27662	49392
359	27741	49318
360	27811	49228
361	27886	49147
362	27974	49091
363	28049	49009
364	28119	48919
365	28191	48834
366	28253	48731
367	28319	48635
368	28413	48588
369	28480	48494
370	28556	48414
371	28639	48348
372	28712	48265
373	28791	48191
374	28856	48094
375	28922	47998
376	28994	47914
377	29062	47822
378	29144	47753
379	29235	47700
380	29340	47668
381	29458	47657
382	29558	47618
383	29669	47595
384	29769	47553
385	29859	47497
386	29936	47418
387	30021	47353
388	30098	47275
389	30163	47178
390	30234	47091
391	30308	47008
392	30379	46921
393	30462	46853
394	30508	46728
395	30589	46657
396	30659	46569
397	30735	46489
398	30800	46394
399	30877	46315
400	30945	46225
401	31015	46138
402	31098	46068
403	31154	45961
404	31227	45877
405	31294	45785
406	31344	45668
407	31403	45565
408	31451	45447
409	31531	45374
410	31617	45311
411	31715	45264
412	31809	45211
413	31919	45181
414	31995	45101
415	32092	45053
416	32178	44988
417	32251	44905
418	32340	44844
419	32444	44804
420	32551	44768
421	32631	44694
422	32714	44624
423	32802	44561
424	32892	44502
425	32977	44434
426	33066	44372
427	33126	44271
428	33187	44172
429	33268	44099
430	33330	44003
431	33400	43915
432	33476	43836
433	33591	43808
434	33676	43741
435	33757	43668
436	33846	43604
437	33925	43530
438	34000	43449
439	34092	43390
440	34179	43325
441	34262	43254
442	34349	43188
443	34424	43108
444	34494	43021
445	34561	42930
446	34640	42855
447	34697	42751
448	34760	42657
449	34833	42573
450	34897	42480
451	34975	42404
452	35057	42332
453	35146	42268
454	35243	42215
455	35331	42149
456	35404	42067
457	35476	41983
458	35551	41903
459	35659	41860
460	35726	41770
461	35808	41698
462	35876	41610
463	35941	41518
464	36003	41423
465	36074	41338
466	36151	41260
467	36214	41167
468	36282	41079
469	36355	40996
470	36431	40917
471	36517	40849
472	36587	40764
473	36688	40713
474	36758	40627
475	36819	40532
476	36891	40449
477	36960	40362
478	37031	40278
479	37112	40205
480	37184	40121
481	37257	40039
482	37331	39959
483	37403	39876
484	37478	39796
485	37556	39720
486	37635	39645
487	37723	39579
488	37818	39520
489	37929	39477
490	38006	39399
491	38095	39334
492	38187	39272
493	38264	39194
494	38326	39100
495	38386	39005
496	38455	38919
497	38541	38851
498	38630	38784
499	38760	38760
500	38843	38688
501	38948	38638
502	39044	38579
503	39145	38523
504	39228	38451
505	39303	38371
506	39391	38304
507	39471	38228
508	39540	38142
509	39591	38038
510	39645	37938
511	39730	37868
512	39880	37859
513	39990	37811
514	40098	37762
515	40209	37716
516	40299	37649
517	40422	37613
518	40549	37580
519	40645	37518
520	40742	37457
521	40872	37427
522	40975	37371
523	41064	37302
524	41141	37223
525	41210	37136
526	41312	37079
527	41393	37003
528	41525	36973
529	41604	36894
530	41689	36821
531	41764	36740
532	41826	36647
533	41917	36580
534	42007	36510
535	42077	36425
536	42139	36332
537	42201	36240
538	42280	36162
539	42381	36102
540	42464	36028
541	42529	35938
542	42606	35858
543	42659	35758
544	42717	35663
545	42765	35559
546	42841	35479
547	42941	35418
548	42997	35322
549	43046	35219
550	43091	35114
551	43145	35016
552	43198	34918
553	43259	34826
554	43307	34724
555	43358	34624
556	43412	34527
557	43479	34440
558	43534	34344
559	43581	34242
560	43627	34139
561	43692	34051
562	43758	33965
563	43829	33882
564	43889	33791
565	43977	33721
566	44037	33630
567	44093	33535
568	44149	33442
569	44205	33348
570	44259	33253
571	44314	33158
572	44367	33062
573	44430	32974
574	44491	32884
575	44561	32801
576	44624	32714
577	44728	32656
578	44799	32574
579	44854	32481
580	44918	32393
581	44989	32312
582	45045	32219
583	45092	32120
584	45153	32031
585	45194	31929
586	45268	31849
587	45343	31771
588	45413	31688
589	45465	31594
590	45525	31506
591	45592	31421
592	45670	31345
593	45746	31267
594	45828	31194
595	45902	31115
596	45973	31034
597	46097	30988
598	46172	30909
599	46264	30843
600	46349	30771
601	46441	30703
602	46536	30638
603	46620	30565
604	46692	30485
605	46753	30397
606	46824	30316
607	46894	30234
608	46965	30153
609	47096	30110
610	47185	30041
611	47278	29973
612	47393	29920
613	47471	29843
614	47536	29758
615	47600	29672
616	47660	29584
617	47727	29501
618	47782	29410
619	47847	29325
620	47900	29233
621	47970	29152
622	48034	29067
623	48093	28979
624	48176	28906
625	48243	28823
626	48308	28738
627	48382	28659
628	48456	28580
629	48523	28497
630	48585	28411
631	48656	28331
632	48730	28253
633	48804	28174
634	48870	28090
635	48947	28014
636	49022	27935
637	49093	27855
638	49188	27788
639	49258	27707
640	49317	27620
641	49373	27532
642	49428	27442
643	49498	27362
644	49577	27286
645	49663	27215
646	49730	27132
647	49812	27058
648	49895	26984
649	49977	26911
650	50062	26838
651	50139	26761
652	50286	26721
653	50380	26653
654	50449	26572
655	50507	26485
656	50570	26401
657	50637	26319
658	50695	26232
659	50778	26158
660	50873	26090
661	50945	26011
662	51014	25930
663	51089	25852
664	51162	25773
665	51225	25689
666	51342	25632
667	51408	25550
668	51485	25473
669	51571	25400
670	51641	25320
671	51714	25241
672	51780	25159
673	51858	25083
674	51930	25003
675	52007	24926
676	52064	24840
677	52122	24754
678	52177	24666
679	52258	24592
680	52325	24510
681	52417	24440
682	52490	24362
683	52556	24280
684	52621	24198
685	52688	24116
686	52766	24040
687	52877	23979
688	52978	23913
689	53043	23831
690	53110	23749
691	53228	23691
692	53334	23627
693	53454	23569
694	53524	23489
695	53592	23408
696	53654	23324
697	53720	23243
698	53793	23164
699	53870	23087
700	53948	23010
701	54022	22932
702	54144	22874
703	54229	22801
704	54298	22720
705	54347	22631
706	54413	22550
707	54503	22478
708	54570	22397
709	54622	22310
710	54676	22224
711	54733	22139
712	54787	22053
713	54842	21967
714	54894	21880
715	54950	21795
716	55003	21709
717	55075	21631
718	55136	21548
719	55190	21462
720	55251	21380
721	55308	21296
722	55366	21212
723	55423	21128
724	55473	21041
725	55562	20969
726	55614	20884
727	55679	20803
728	55751	20725
729	55829	20649
730	55910	20574
731	55999	20502
732	56066	20422
733	56129	20341
734	56200	20262
735	56261	20180
736	56320	20098
737	56384	20017
738	56436	19932
739	56491	19848
740	56603	19784
741	56669	19704
742	56735	19624
743	56802	19545
744	56863	19463
745	56933	19384
746	56992	19302
747	57050	19220
748	57112	19139
749	57170	19056
750	57246	18980
751	57317	18902
752	57385	18823
753	57449	18743
754	57510	18662
755	57574	18582
756	57675	18513
757	57748	18436
758	57818	18358
759	57892	18281
760	57977	18208
761	58057	18133
762	58125	18054
763	58189	17974
764	58262	17897
765	58359	17827
766	58452	17756
767	58519	17677
768	58584	17598
769	58708	17536
770	58787	17461
771	58844	17379
772	58897	17295
773	58958	17215
774	59034	17139
775	59157	17076
776	59248	17004
777	59305	16922
778	59361	16840
779	59417	16758
780	59465	16674
781	59515	16591
782	59565	16508
783	59618	16425
784	59672	16343
785	59752	16268
786	59804	16185
787	59860	16104
788	59926	16025
789	59982	15944
790	60029	15861
791	60082	15779
792	60133	15696
793	60190	15616
794	60249	15536
795	60303	15454
796	60353	15372
797	60400	15289
798	60476	15213
799	60529	15132
800	60597	15054
801	60678	14980
802	60741	14901
803	60844	14832
804	60924	14758
805	60993	14680
806	61057	14602
807	61134	14527
808	61195	14447
809	61278	14373
810	61360	14299
811	61432	14223
812	61496	14144
813	61577	14070
814	61637	13991
815	61687	13909
816	61773	13836
817	61880	13767
818	61939	13688
819	61992	13608
820	62052	13529
821	62106	13448
822	62155	13367
823	62202	13285
824	62253	13205
825	62306	13125
826	62365	13046
827	62423	12967
828	62477	12887
829	62529	12807
830	62584	12727
831	62639	12648
832	62688	12567
833	62750	12489
834	62807	12410
835	62859	12331
836	62943	12257
837	63004	12179
838	63060	12100
839	63110	12020
840	63163	11941
841	63211	11861
842	63272	11783
843	63318	11703
844	63370	11624
845	63424	11545
846	63482	11467
847	63543	11389
848	63597	11311
849	63662	11234
850	63725	11157
851	63778	11078
852	63853	11004
853	63913	10926
854	64014	10856
855	64077	10779
856	64148	10703
857	64221	10628
858	64284	10551
859	64336	10473
860	64388	10394
861	64445	10317
862	64501	10239
863	64549	10160
864	64607	10083
865	64661	10005
866	64706	9926
867	64761	9848
868	64815	9770
869	64860	9691
870	64901	9612
871	64958	9535
872	65042	9462
873	65097	9384
874	65148	9306
875	65203	9229
876	65259	9152
877	65326	9077
878	65401	9002
879	65478	8928
880	65553	8854
881	65660	8784
882	65746	8711
883	65812	8636
884	65872	8559
885	65924	8482
886	65976	8405
887	66071	8333
888	66136	8257
889	66186	8180
890	66241	8103
891	66293	8026
892	66352	7950
893	66410	7874
894	66462	7797
895	66551	7724
896	66660	7654
897	66756	7582
898	66850	7510
899	66919	7435
900	67003	7362
901	67137	7294
902	67223	7221
903	67296	7146
904	67356	7070
905	67415	6994
906	67484	6919
907	67545	6843
908	67609	6768
909	67689	6694
910	67754	6619
911	67836	6545
912	67895	6469
913	67952	6393
914	68007	6317
915	68066	6241
916	68119	6165
917	68211	6093
918	68267	6017
919	68324	5941
920	68380	5865
921	68423	5788
922	68473	5712
923	68538	5637
924	68581	5560
925	68630	5484
926	68683	5408
927	68734	5332
928	68790	5257
929	68839	5181
930	68889	5105
931	68936	5029
932	68987	4954
933	69043	4878
934	69104	4804
935	69185	4730
936	69296	4659
937	69372	4585
938	69442	4511
939	69515	4437
940	69587	4363
941	69656	4288
942	69710	4213
943	69783	4139
944	69835	4064
945	69888	3989
946	69942	3914
947	70001	3839
948	70055	3764
949	70112	3690
950	70162	3615
951	70219	3540
952	70330	3468
953	70402	3394
954	70470	3320
955	70534	3246
956	70600	3172
957	70668	3098
958	70729	3023
959	70787	2949
960	70843	2875
961	70890	2800
962	70942	2725
963	70992	2651
964	71046	2576
965	71102	2502
966	71151	2428
967	71208	2353
968	71251	2279
969	71302	2205
970	71379	2131
971	71439	2057
972	71505	1984
973	71569	1910
974	71637	1836
975	71692	1762
976	71756	1689
977	71822	1615
978	71885	1541
979	71948	1468
980	71997	1394
981	72063	1320
982	72134	1247
983	72194	1173
984	72261	1100
985	72323	1026
986	72434	954
987	72522	880
988	72623	807
989	72707	734
990	72796	661
991	72857	587
992	72914	513
993	72992	440
994	73050	367
995	73134	293
996	73212	220
997	73275	146
998	73354	73
999	73488	0
