iter	RMSE
152	18300.93485
153	18266.13744
154	18232.09684
155	18219.63694
156	18199.34022
157	18139.0083
158	18124.91882
159	18087.91002
160	18079.89652
161	18038.70209
162	18010.04643
163	17994.43953
164	17982.51985
165	17919.31209
166	17876.65907
167	17859.02659
168	17813.79568
169	17777.90173
170	17767.84346
171	17753.28295
172	17734.41271
173	17706.47581
174	17690.85821
175	17643.79141
176	17625.75725
177	17597.46271
178	17558.17551
179	17513.12792
180	17497.27029
181	17473.21593
182	17456.84236
183	17405.89834
184	17376.1835
185	17329.66493
186	17306.38185
187	17281.42786
188	17227.14675
189	17188.45073
190	17153.14167
191	17100.85916
192	17089.24385
193	17054.34435
194	17021.80991
195	16979.74658
196	16952.67366
197	16932.22567
198	16884.61171
199	16844.35982
200	16834.76079
201	16808.67652
202	16782.40275
203	16746.33121
204	16737.48347
205	16718.80039
206	16707.4236
207	16687.76232
208	16649.89461
209	16608.527
210	16598.18898
211	16590.24141
212	16580.62092
213	16573.22267
214	16560.65198
215	16537.69059
216	16515.97452
217	16494.22247
218	16468.23971
219	16449.00412
220	16426.52316
221	16405.90388
222	16378.56161
223	16350.82455
224	16328.55789
225	16302.90093
226	16298.03587
227	16272.26441
228	16257.03598
229	16246.8754
230	16244.73257
231	16235.99652
232	16226.98075
233	16212.37379
234	16194.78434
235	16163.51815
236	16131.90596
237	16129.7401
238	16110.81601
239	16084.3693
240	16058.18711
241	16039.82305
242	16034.83928
243	16004.17777
244	15989.67941
245	15962.88747
246	15929.86749
247	15903.44578
248	15884.15766
249	15879.79534
250	15847.16613
251	15829.64746
252	15807.80627
253	15760.62234
254	15756.98105
255	15721.05043
256	15687.59104
257	15685.42765
258	15652.31103
259	15624.39128
260	15596.55117
261	15550.89667
262	15549.76226
263	15520.89102
264	15496.06715
265	15477.7604
266	15459.81683
267	15443.01776
268	15398.1379
269	15353.60199
270	15344.74581
271	15342.82773
272	15326.58989
273	15276.69174
274	15264.50181
275	15250.1373
276	15222.06349
277	15205.90082
278	15203.76274
279	15158.85902
280	15144.33613
281	15119.09914
282	15103.54434
283	15088.632
284	15069.71224
285	15050.27264
286	15047.37082
287	15038.29564
288	15015.34896
289	15000.26659
290	14996.50414
291	14970.6224
292	14935.62768
293	14930.49871
294	14898.05424
295	14864.30634
296	14832.51739
297	14817.81079
298	14789.74382
299	14762.64017
300	14728.07653
301	14710.36686
302	14696.53173
303	14682.66821
304	14682.08893
305	14658.79567
306	14645.25196
307	14615.42984
308	14603.05026
309	14596.789
310	14581.03843
311	14555.35473
312	14525.78498
313	14495.86939
314	14467.46251
315	14464.77115
316	14432.27817
317	14401.77468
318	14401.14938
319	14390.65626
320	14374.3767
321	14361.61432
322	14342.21536
323	14341.05266
324	14307.32156
325	14304.15885
326	14277.47644
327	14255.73504
328	14255.14451
329	14235.15919
330	14229.62598
331	14197.22169
332	14185.96744
333	14176.51174
334	14175.95491
335	14144.81164
336	14130.02485
337	14098.83122
338	14071.13688
339	14065.01097
340	14062.28288
341	14056.88522
342	14051.34936
343	14039.73313
344	14036.89684
345	14016.5288
346	13997.24066
347	13988.43155
348	13978.44984
349	13974.36371
350	13970.33821
351	13951.96474
352	13944.24012
353	13931.15022
354	13910.78121
355	13891.62027
356	13862.75038
357	13835.19917
358	13800.55022
359	13800.14599
360	13788.29313
361	13768.53316
362	13766.21148
363	13753.56404
364	13749.96623
365	13724.39966
366	13710.7044
367	13691.66948
368	13676.62682
369	13640.4579
370	13611.30154
371	13609.60958
372	13584.06531
373	13564.39125
374	13561.72748
375	13532.9981
376	13532.21104
377	13525.25012
378	13505.51881
379	13473.7033
380	13453.97302
381	13447.90745
382	13419.85334
383	13397.08662
384	13369.14081
385	13366.0048
386	13364.26884
387	13348.29287
388	13317.4179
389	13297.02519
390	13281.09311
391	13266.92433
392	13242.41996
393	13235.14894
394	13226.95415
395	13203.29161
396	13201.97749
397	13183.97517
398	13154.21751
399	13133.12597
400	13111.88085
401	13103.31873
402	13085.73126
403	13084.79527
404	13072.43089
405	13062.70432
406	13047.59526
407	13014.01044
408	12980.29137
409	12979.13668
410	12969.44401
411	12959.46717
412	12946.56877
413	12943.59031
414	12940.05604
415	12939.54838
416	12924.53695
417	12921.77157
418	12920.59134
419	12907.54401
420	12898.47179
421	12894.27015
422	12886.93403
423	12863.16622
424	12850.48603
425	12845.7843
426	12816.02262
427	12814.86729
428	12800.04716
429	12785.75868
430	12763.69784
431	12751.92154
432	12741.42062
433	12736.2422
434	12724.0226
435	12713.2401
436	12690.91667
437	12672.5075
438	12668.02777
439	12642.82693
440	12613.21209
441	12610.73806
442	12598.82995
443	12580.04994
444	12569.62276
445	12550.98154
446	12549.1938
447	12544.48586
448	12543.36771
449	12517.67696
450	12491.20598
451	12487.91886
452	12481.23579
453	12480.60786
454	12469.67039
455	12468.58777
456	12462.2593
457	12436.00806
458	12417.03562
459	12397.54316
460	12390.04169
461	12365.4401
462	12346.6877
463	12327.3948
464	12322.29165
465	12314.07706
466	12306.92447
467	12303.14084
468	12297.27885
469	12279.6847
470	12268.50004
471	12265.83906
472	12256.38993
473	12253.72802
474	12229.15599
475	12228.76232
476	12220.04057
477	12213.67399
478	12211.17723
479	12193.31597
480	12169.7548
481	12168.0781
482	12164.87141
483	12142.59534
484	12117.27798
485	12107.19048
486	12106.03071
487	12101.55076
488	12087.79019
489	12067.39839
490	12054.95207
491	12018.78102
492	11985.09351
493	11970.38587
494	11962.62584
495	11942.7965
496	11929.23162
497	11913.42302
498	11902.68245
499	11898.48622
500	11884.10157
501	11866.60236
502	11865.77669
503	11862.3582
504	11842.81983
505	11822.41337
506	11803.74691
507	11785.46249
508	11769.55407
509	11761.08835
510	11745.02817
511	11740.59343
512	11726.56462
513	11709.42365
514	11694.33576
515	11677.87405
516	11675.69271
517	11658.09312
518	11637.44668
519	11627.95241
520	11612.49654
521	11608.9082
522	11606.73531
523	11591.81641
524	11558.98934
525	11553.76517
526	11543.89401
527	11525.83276
528	11504.43315
529	11494.93091
530	11474.94514
531	11461.9085
532	11457.64412
533	11446.80552
534	11444.4945
535	11432.11041
536	11417.8357
537	11407.64825
538	11397.3118
539	11388.12632
540	11371.66779
541	11356.18369
542	11355.32625
543	11340.77282
544	11338.67299
545	11319.86105
546	11298.54372
547	11289.26109
548	11267.51231
549	11253.57722
550	11237.17091
551	11225.46795
552	11206.1235
553	11178.6979
554	11151.43524
555	11144.54148
556	11140.20663
557	11137.26977
558	11128.97195
559	11107.42664
560	11087.71115
561	11080.7759
562	11079.30984
563	11063.16185
564	11053.21062
565	11050.62202
566	11040.29578
567	11032.20549
568	11015.55927
569	11010.60575
570	11002.20827
571	10990.27292
572	10981.60362
573	10972.85304
574	10954.82671
575	10935.88828
576	10916.14323
577	10893.6778
578	10891.39139
579	10862.8512
580	10853.97459
581	10837.56602
582	10831.29019
583	10808.35277
584	10803.86991
585	10799.50685
586	10794.63366
587	10780.10075
588	10763.05112
589	10744.95458
590	10742.09115
591	10729.99115
592	10728.282
593	10720.68565
594	10719.22636
595	10704.30725
596	10679.45179
597	10669.14165
598	10661.55673
599	10641.5245
600	10634.96729
601	10617.61723
602	10602.12101
603	10596.19065
604	10589.2015
605	10573.05761
606	10554.19231
607	10538.24021
608	10536.93293
609	10528.9427
610	10511.46089
611	10509.359
612	10491.91127
613	10486.18613
614	10473.97743
615	10458.93648
616	10449.54534
617	10437.07231
618	10436.41068
619	10422.61613
620	10414.06428
621	10397.07985
622	10382.62964
623	10376.83884
624	10359.34809
625	10347.47018
626	10340.9059
627	10324.97866
628	10316.30399
629	10303.32087
630	10291.01017
631	10275.28501
632	10258.48177
633	10251.49791
634	10246.14432
635	10242.9132
636	10224.75718
637	10224.37696
638	10218.66229
639	10214.96414
640	10213.14625
641	10203.86388
642	10190.3665
643	10184.89512
644	10181.85936
645	10175.94532
646	10172.06597
647	10164.02008
648	10152.02611
649	10143.86069
650	10124.57366
651	10109.93258
652	10107.5216
653	10099.22866
654	10084.80934
655	10082.39526
656	10079.48503
657	10070.32054
658	10064.73233
659	10047.35257
660	10033.50686
661	10019.85906
662	10006.488
663	10001.99143
664	9988.583097
665	9974.794538
666	9968.390053
667	9963.504749
668	9960.062892
669	9954.285747
670	9952.571505
671	9942.609912
672	9921.405472
673	9909.869238
674	9895.458839
675	9869.279592
676	9866.451864
677	9854.247102
678	9846.678985
679	9845.797062
680	9837.161197
681	9832.076481
682	9831.345883
683	9823.548951
684	9807.638056
685	9797.082333
686	9785.944994
687	9780.799467
688	9773.228523
689	9762.590149
690	9741.604486
691	9729.38486
692	9714.951989
693	9709.021341
694	9704.483163
695	9689.709517
696	9684.124655
697	9674.488331
698	9662.172551
699	9653.329458
700	9645.235689
701	9642.15825
702	9633.734733
703	9625.191169
704	9620.761792
705	9613.216789
706	9609.2087
707	9595.486949
708	9575.340102
709	9573.738466
710	9552.067908
711	9551.14242
712	9549.701085
713	9537.802335
714	9525.542205
715	9521.482508
716	9505.593805
717	9502.491397
718	9501.284406
719	9483.735299
720	9482.913275
721	9480.748446
722	9466.879372
723	9457.381157
724	9442.63209
725	9435.043135
726	9428.676774
727	9421.738864
728	9414.45503
729	9408.563587
730	9408.005921
731	9404.605069
732	9398.789528
733	9383.361149
734	9382.749515
735	9374.777457
736	9368.030386
737	9353.960163
738	9333.433338
739	9326.593971
740	9323.504861
741	9309.886124
742	9298.306007
743	9288.945943
744	9282.170433
745	9270.250575
746	9265.427727
747	9255.778981
748	9245.778407
749	9237.718744
750	9226.059865
751	9208.819332
752	9204.904635
753	9202.522579
754	9195.712232
755	9193.763781
756	9186.577537
757	9167.792873
758	9145.984896
759	9126.974274
760	9112.420704
761	9105.420163
762	9097.7269
763	9086.582881
764	9084.299634
765	9082.841772
766	9069.035229
767	9063.825906
768	9059.721822
769	9052.003725
770	9047.544486
771	9043.910991
772	9031.35253
773	9026.270305
774	9017.335082
775	8999.944431
776	8990.532678
777	8978.994021
778	8970.991816
779	8954.12826
780	8944.770714
781	8931.770677
782	8925.395469
783	8917.733798
784	8908.843682
785	8896.068486
786	8878.866016
787	8876.75602
788	8863.975143
789	8846.250824
790	8843.954932
791	8842.111197
792	8822.066502
793	8809.134519
794	8800.541323
795	8790.665797
796	8781.645435
797	8771.377162
798	8761.418511
799	8760.924669
800	8758.339202
801	8748.460275
802	8733.995223
803	8732.584371
804	8731.510537
805	8729.55585
806	8729.179843
807	8724.626882
808	8712.598756
809	8703.335038
810	8695.839279
811	8684.726141
812	8679.393522
813	8670.561208
814	8659.611746
815	8648.838362
816	8644.031994
817	8638.358972
818	8630.148076
819	8627.403574
820	8616.348578
821	8611.847602
822	8603.633007
823	8584.412337
824	8563.04964
825	8541.458902
826	8530.829782
827	8530.013009
828	8517.680144
829	8504.201979
830	8503.318407
831	8491.83673
832	8487.115038
833	8485.207617
834	8467.753705
835	8464.465883
836	8457.751786
837	8452.170314
838	8440.739514
839	8436.788012
840	8433.16243
841	8424.648477
842	8424.030187
843	8416.028223
844	8415.735888
845	8412.769319
846	8407.210959
847	8399.497605
848	8398.654927
849	8396.485353
850	8391.193813
851	8380.324408
852	8380.078329
853	8371.939809
854	8368.536331
855	8364.333051
856	8346.691473
857	8345.66501
858	8332.776481
859	8330.275061
860	8309.079831
861	8296.088959
862	8294.67776
863	8287.35863
864	8286.166151
865	8272.975939
866	8270.208077
867	8255.159017
868	8250.409672
869	8242.711061
870	8241.877886
871	8232.983856
872	8215.319274
873	8209.093907
874	8202.255713
875	8187.696305
876	8187.104523
877	8171.640349
878	8155.238688
879	8149.994292
880	8143.128126
881	8142.462369
882	8127.746234
883	8120.088672
884	8112.247933
885	8099.405404
886	8092.582514
887	8075.368343
888	8071.874743
889	8064.351965
890	8050.604379
891	8045.226392
892	8038.087947
893	8037.285062
894	8032.332274
895	8031.972578
896	8020.293502
897	8019.930501
898	8017.248826
899	8014.22703
900	8010.19095
901	7992.529605
902	7978.291442
903	7970.493527
904	7962.62383
905	7960.20119
906	7946.133873
907	7934.539923
908	7919.76687
909	7909.08041
910	7906.878533
911	7903.949289
912	7890.897467
913	7887.927043
914	7886.943944
915	7884.912316
916	7880.240753
917	7879.945915
918	7876.381534
919	7869.333244
920	7865.719206
921	7862.291031
922	7859.429688
923	7859.134558
924	7853.840378
925	7847.786552
926	7833.88247
927	7833.495825
928	7816.861945
929	7806.738025
930	7806.505024
931	7806.102345
932	7802.940814
933	7802.763767
934	7797.490059
935	7778.777252
936	7771.554794
937	7770.516208
938	7769.793459
939	7767.010092
940	7766.838504
941	7748.384928
942	7746.10754
943	7743.795692
944	7739.250443
945	7732.780077
946	7730.024159
947	7728.299223
948	7719.445277
949	7710.588527
950	7703.350468
951	7701.295709
952	7700.76125
953	7698.6696
954	7688.900724
955	7684.040079
956	7670.305649
957	7667.651977
958	7660.113064
959	7654.034741
960	7647.255078
961	7629.313024
962	7627.586118
963	7620.195857
964	7619.643922
965	7614.461897
966	7614.153767
967	7613.699995
968	7608.920435
969	7607.944923
970	7606.457211
971	7606.117295
972	7600.675034
973	7595.559042
974	7593.363395
975	7586.699494
976	7580.185052
977	7579.913983
978	7571.18608
979	7560.183468
980	7554.346164
981	7552.921806
982	7552.719521
983	7551.04811
984	7538.841913
985	7535.835468
986	7532.788877
987	7527.022648
988	7525.653654
989	7523.718284
990	7518.195517
991	7511.578647
992	7509.579559
993	7509.3374
994	7503.042464
995	7502.73806
996	7495.216472
997	7492.580945
998	7492.218942
999	7490.158761
